CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,HomePlanet_Europa,HomePlanet_Mars
0,0.49367088607594933,0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False
0,0.3037974683544304,0,0.0076080128428840646,1.0,0.0010641920653839604,0.024500178507675833,44.0,True,False,True,False,False
0,0.7341772151898734,1,0.0030013261673762824,1.0,0.0,0.2996697607997144,49.0,False,False,True,True,False
0,0.4177215189873418,0,0.0,1.0,0.015792610250297972,0.14856301320956802,193.0,False,False,True,True,False
0,0.20253164556962025,0,0.021148879737558454,1.0,0.006427720074919121,0.025214209210996073,2.0,True,False,True,False,False
0,0.5569620253164557,0,0.0,1.0,0.0,0.012986433416636916,0.0,True,True,False,False,False
0,0.3291139240506329,0,0.0029315278844140435,1.0,0.00012770304784607525,0.0,0.0,True,False,True,False,False
1,0.35443037974683544,0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,False
0,0.4430379746835443,0,0.0,1.0,0.0007236506044610931,0.009639414494823279,0.0,True,False,True,False,False
1,0.17721518987341772,0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False
1,0.43037974683544306,0,0.0,0.0,0.0,0.0,0.0,True,False,True,True,False
0,0.569620253164557,0,0.002722133035527326,1.0,0.02507236506044611,0.004908961085326669,124.0,True,False,False,True,False
0,0.4050632911392405,0,0.005095274656243457,0.0,0.0478035075770475,0.0,113.0,True,False,True,False,True
0,0.6075949367088608,0,0.05018496544984993,1.0,0.0027668993699982974,0.0,24.0,False,False,True,False,False
0,0.35443037974683544,0,0.000558386263697913,1.0,0.000510812191384301,8.925383791503035e-05,7.0,True,False,True,False,False
0,0.3924050632911392,0,0.002233545054791652,0.0,0.03728928997105398,0.0,0.0,False,False,True,False,False
0,0.34177215189873417,0,0.08976059188943952,1.0,0.0,0.0,0.0,False,False,False,False,True
0,0.3037974683544304,0,0.0,1.0,0.0,0.0,637.0,False,False,False,False,False
1,0.569620253164557,0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,True
0,0.0,0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,False
0,0.17721518987341772,0,0.02875689258044252,0.0,4.256768261535842e-05,0.0,679.0,False,False,False,False,False
1,0.012658227848101266,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
1,0.620253164556962,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
1,0.3670886075949367,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
0,0.12658227848101267,0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,False
1,0.012658227848101266,0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False
0,0.08860759493670886,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
0,0.26582278481012656,0,0.06840231730299434,1.0,0.002937170100459731,0.0,0.0,False,False,True,False,True
1,0.7848101265822784,0,0.0,0.0,0.0,0.0,0.0,True,False,True,True,False
0,0.18987341772151897,0,0.0,1.0,0.0,0.044537665119600146,0.0,False,False,True,False,False
0,0.43037974683544306,0,0.0015355622251692607,1.0,0.0,0.06417350946090682,328.0,False,False,False,True,False
0,0.5443037974683544,0,0.07852306833251901,0.0,0.005789204835688745,0.0021420921099607284,0.0,False,False,True,False,True
0,0.4050632911392405,0,0.0,1.0,0.003447982291844032,0.01950196358443413,453.0,False,False,True,False,False
0,0.5949367088607594,0,0.014936832553919173,0.0,0.060063000170270726,0.0,1229.0,True,False,True,False,True
0,0.02531645569620253,0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,True
0,0.25316455696202533,0,0.0,0.0,0.07449344457687723,0.044180649767940026,0.0,True,False,True,False,True
1,0.35443037974683544,0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False
0,0.2911392405063291,0,0.054721853842395474,1.0,0.0,0.04244019992859693,0.0,False,False,False,False,True
0,0.18987341772151897,1,0.0,1.0,0.002043248765537204,0.0008925383791503035,401.0,False,False,False,False,False
0,0.25316455696202533,0,0.03866824876108048,1.0,0.0,0.11629775080328454,0.0,False,False,False,False,False
1,0.37974683544303794,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False
1,0.21518987341772153,0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,False
0,0.569620253164557,0,0.0,1.0,0.0019155457176911288,0.1120581935023206,855.0,False,False,True,True,False
1,0.6962025316455696,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
1,0.05063291139240506,0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False
1,0.26582278481012656,0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False
0,0.26582278481012656,0,0.06770433447337196,0.0,0.007662182870764515,0.0,64.0,False,False,True,False,True
1,0.24050632911392406,0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,True
0,0.4430379746835443,0,0.05514064354016891,0.0,0.0,0.0,0.0,False,False,False,False,False
0,0.7088607594936709,0,0.0,1.0,0.0,0.061540521242413423,127.0,False,False,True,False,False
0,0.34177215189873417,0,0.0002791931318489565,0.0,8.513536523071684e-05,0.20898786147804357,0.0,False,False,True,False,False
0,0.31645569620253167,0,0.0,0.0,0.08249616890856461,0.0,1.0,True,False,True,False,False
0,0.02531645569620253,0,0.0,0.0,0.0,0.0,0.0,True,False,True,True,False
1,0.4810126582278481,0,0.0,0.0,0.0,0.0,0.0,True,False,True,True,False
0,0.34177215189873417,0,0.019473720946464716,1.0,0.1436233611442193,0.01276329882184934,3.0,True,False,True,True,False
1,0.45569620253164556,0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False
0,0.27848101265822783,0,0.003140922733300761,1.0,0.006300017027073046,0.0614512674044984,1.0,False,False,True,False,False
0,0.7848101265822784,0,0.0,1.0,0.0,0.000758657622277758,25.0,False,False,True,False,False
1,0.18987341772151897,0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,True
1,0.4177215189873418,0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,False
0,0.7848101265822784,0,6.979828296223913e-05,1.0,0.008385833475225608,0.0,460.0,False,False,True,False,False
1,0.0,0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False
0,0.22784810126582278,0,6.979828296223913e-05,1.0,0.018985186446449854,0.0,0.0,True,False,True,False,False
0,0.26582278481012656,0,0.13582745864451734,1.0,0.0,0.0,24.0,False,False,False,False,False
0,0.34177215189873417,0,0.055350038389055625,0.0,8.513536523071684e-05,0.01129061049625134,0.0,False,False,True,False,True
0,0.5316455696202531,0,0.06191107698750611,0.0,0.00038310914353822576,0.00026776151374509105,0.0,True,False,True,False,False
0,0.24050632911392406,0,0.013261673762825435,0.0,0.0002128384130767921,4.4626918957515175e-05,726.0,False,False,True,False,False
0,0.21518987341772153,0,0.001116772527395826,1.0,0.0,0.0,52.0,False,False,True,False,False
0,0.17721518987341772,0,0.0,1.0,0.0,0.0,1063.0,False,False,True,False,False
0,0.46835443037974683,0,0.0032107210162629998,1.0,0.03141494977013451,0.0,12.0,False,True,False,False,True
0,0.5316455696202531,0,6.979828296223913e-05,1.0,0.0,0.0,506.0,True,False,True,True,False
0,0.34177215189873417,0,0.010260347595449151,0.0,0.04333390090243487,0.0,0.0,True,False,True,False,True
0,0.35443037974683544,0,0.0009771759614713477,0.0,0.05512514898688915,0.0,0.0,True,False,True,False,True
0,0.4810126582278481,0,0.0,1.0,0.0,0.014325240985362371,9654.0,False,False,True,True,False
1,0.16455696202531644,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
0,0.5316455696202531,0,0.516926083618343,0.0,0.0,0.0,0.0,False,False,True,False,True
1,0.02531645569620253,0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,True
0,0.10126582278481013,0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,True
0,0.3037974683544304,0,0.04802121867802052,0.0,0.0,0.0,17.0,True,False,True,False,False
1,0.5063291139240507,0,0.0,0.0,0.0,0.0,0.0,True,False,True,True,False
0,0.5443037974683544,0,0.014727437705032456,0.0,0.0,0.028471974294894682,513.0,False,False,True,False,False
1,0.569620253164557,0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,True
1,0.4430379746835443,0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,False
1,0.3291139240506329,0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,False
0,0.34177215189873417,0,6.979828296223913e-05,1.0,0.001319598161076111,0.008389860764012854,0.0,False,False,True,False,False
0,0.24050632911392406,0,0.0,0.0,0.02852034735229014,4.4626918957515175e-05,34.0,False,False,True,False,False
1,0.0,0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,False
1,0.0379746835443038,0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,False
0,0.6835443037974683,0,0.0,1.0,0.0,0.00013388075687254553,637.0,False,False,True,True,False
0,0.3291139240506329,0,0.0,1.0,0.0002128384130767921,0.0014280614066404856,0.0,False,False,True,False,False
0,0.3291139240506329,0,0.0,1.0,0.04073727226289801,0.0,87.0,True,False,True,False,False
0,0.2911392405063291,0,0.02170726600125637,1.0,0.022390601055678527,0.0016511960014280614,0.0,False,True,False,False,False
1,0.02531645569620253,0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,False
1,0.3924050632911392,0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,True
0,0.22784810126582278,0,0.0,0.0,0.0,0.037040342734737594,91.0,False,False,True,False,False
0,0.3037974683544304,0,0.0,1.0,0.0,0.0,17.0,True,False,True,False,False
1,0.11392405063291139,0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False
1,0.0759493670886076,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
1,0.34177215189873417,0,0.0,0.0,0.024263579090754297,8.925383791503035e-05,131.0,False,False,True,False,False
0,0.26582278481012656,0,0.1216584072031828,1.0,0.0007236506044610931,0.0,0.0,False,False,True,False,True
1,0.2911392405063291,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
0,0.3924050632911392,0,0.03922663502477839,0.0,0.013877064532606844,0.0,0.0,False,False,True,False,False
0,0.0,1,0.0,0.0,0.0,0.0,0.0,True,False,True,False,False
0,0.4050632911392405,0,0.0,1.0,0.0002554060956921505,0.1753391645840771,764.0,False,False,True,True,False
1,0.5063291139240507,0,0.0,1.0,0.0,0.0,1687.0,False,False,True,True,False
